name,name_norm,is_active,count,example
右工具箱ステー,右工具箱ステー,true,3,右工具箱ステー腐食製作切断加工溶接
左右バンパーステー,左右バンパーステー,true,3,左右バンパーステー脱着曲がり直し
取付ボルト,取付ボルト,true,3,取付ボルト2本切断取替
CIタップボルト,CIタップボルト,true,2,CIタップボルト
UDPC取付ボルト,UDPC取付ボルト,true,2,UDPC取付ボルト折れ込み修理
カプラースイッチブラケット,カプラースイッチブラケット,true,2,カプラースイッチブラケット取付加工
グリルステー,グリルステー,true,2,グリルステー曲がり直し鈑金
サイドブレーキブラケット,サイドブレーキブラケット,true,2,サイドブレーキブラケット亀裂溶接
スイッチステー,スイッチステー,true,2,スイッチステー切断付替え加工
ステー引出し,ステー引出し,true,2,バンパーステー引出し
ステー取付,ステー取付,true,2,フラッシャーステー取付
ステー制作取付,ステー制作取付,true,2,左ステー制作取付
ステンロックスイッチステー,ステンロックスイッチステー,true,2,左右ステンロックスイッチステー脱着Z曲げ加工リベット打ち替え6本
センター泥除けゴムブラケット,センター泥除けゴムブラケット,true,2,センター泥除けゴムブラケット取外し取替
ナンバーボルト,ナンバーボルト,true,2,ナンバーボルト折れ込み取外し
バックカメラブラケット,バックカメラブラケット,true,2,バックカメラブラケット制作取付加工
バンパーステー,バンパーステー,true,2,バンパーステー引出し
ブラケットボルト,ブラケットボルト,true,2,ブラケットボルト折れ込み修理
ブラケット取り外し,ブラケット取り外し,true,2,左右観音扉コンパネ入れブラケット取り外し
ブラケット鈑金,ブラケット鈑金,true,2,取付ブラケット鈑金
ブレ止めステー,ブレ止めステー,true,2,ブレ止めステー製作取替加工
ボルト止め,ボルト止め,true,2,荷台内架台修正ボルト止め
ボルト取り外し,ボルト取り外し,true,2,焼き付きボルト取り外し
ム曲がり直しカプラーステー,ム曲がり直しカプラーステー,true,2,右フレーム曲がり直しカプラーステー鈑金
リヤバンパーステー,リヤバンパーステー,true,2,リヤバンパーステーボルト切断
ロングボルト,ロングボルト,true,2,ロングボルト2本取替
右カプラーガイドブラケット,右カプラーガイドブラケット,true,2,右カプラーガイドブラケット脱着切断鈑金溶接
右サイドガード前ステー,右サイドガード前ステー,true,2,右サイドガード前ステー脱着折損溶接補強材制作取付溶接
右ステップブラケット,右ステップブラケット,true,2,右ステップブラケット脱着修正
右ミラーステー,右ミラーステー,true,2,右ミラーステー調整
右ライトブラケット,右ライトブラケット,true,2,右ライトブラケット取替
右前サイドガードステー,右前サイドガードステー,true,2,右前サイドガードステー折損溶接
延長ブラケット,延長ブラケット,true,2,延長ブラケット亀裂カット溶接
押えボルト,押えボルト,true,2,押えボルト折れ込み取替加工２本
横根太穴掘りボルト,横根太穴掘りボルト,true,2,横根太穴掘りボルト留め加工
穴掘りボルト,穴掘りボルト,true,2,穴掘りボルト２本止め固定加工
固定ボルト,固定ボルト,true,2,固定ボルト1本取替ブッシュ取付加工
左ステップブラケット,左ステップブラケット,true,2,左ステップブラケット脱着応急曲がり直し
左ハーネスステー,左ハーネスステー,true,2,左ハーネスステー脱着
左ミラーステー,左ミラーステー,true,2,左ミラーステー曲がり直し
左右床枠ボルト,左右床枠ボルト,true,2,左右床枠ボルト折れ込み修理2本
左後ろサイドガードステー,左後ろサイドガードステー,true,2,左後ろサイドガードステー折損部落下防止ステー製作応急取付加工
取付ステー,取付ステー,true,2,取付ステー曲がり直し
折損ステー,折損ステー,true,2,折損ステー取付リブ入れ溶接
幌骨差込ブラケット,幌骨差込ブラケット,true,2,幌骨差込ブラケット折損パイプ取付溶接
踊場右枠骨ボルト,踊場右枠骨ボルト,true,2,踊場右枠骨ボルト折れ込み取外し取替加工
