name,sort_order,reading
ステー,681,すてー
バンパーカバー,682,ばんぱかば
エンドカバー,683,えんどかば
ピラー蝶番,684,ぴらーちょうつがい
キングブレーキワイヤー,685,きんぐぶれきわいや
サイドバンパーリベット,686,さいどばんぱりべっと
エンジンアンダーカバー,687,えんじんあんだかば
メンバーボルト,688,めんばぼると
エアードライヤー,689,えあどらいや
チャージパイプ,690,ちゃじぱいぷ
鈑金部,691,鈑きんぶ
コンパネブラケットリベット,692,こんぱねぶらけっとりべっと
車幅灯,693,車幅とう
フレーム,694,ふれーむ
導風板,695,導ふういた
ブレーキホース,696,ぶれきぼす
テールパイプバンド,697,でるぱいぷばんど
ホースバンド,698,ぼすばんど
ブロックドリル,699,ぶろっくどりる
フックピン,700,ふっくぴん
フロントナンバー枠,701,ふろんとなんばー枠
高速ミラー,702,たか速みらー
ドアセイコーラック,703,どあせいごらっく
エアダクト,704,えあだくと
インナーバンパー引出し,705,いんなーばんぱー引しゅつし
エキゾーストブレーキシャッター,706,えきぞすとぶれきしゃっだ
ロックピン,707,ろっくぴん
ウィングガスケット,708,うぃんぐがすけっと
ライト,709,らいと
ステイリフレクター,710,すていりふれくだ
ブレーキハンドル,711,ぶれきはんどる
ブレーキスイッチリレー,712,ぶれきすいっちりれ
