id,invoice_id,line_no,sub_no,raw_label_part,action,target,unit_price,quantity,amount,is_cancelled,confidence_score,extraction_method,notes,created_at,updated_at,record_type,raw_label_full,set_name,other,is_latest
82,21111313-1,1,1,右サイドガード折損部修正取付溶接,修正・取付・溶接,サイドガード,5000,1,5000,false,0.90,自動変換,,,,individual,右サイドガード折損部修正取付溶接,,,true
83,21111314-1,1,1,リヤナンバーボルト折れ込み取外し取替,取替,,5000,1,5000,false,0.90,自動変換,,,,individual,リヤナンバーボルト折れ込み取外し取替,,,true
84,21111315-1,1,1,フロントリッドグリル脱着グロメット取替貼付,取替・脱着・貼付,,5000,1,5000,false,0.90,自動変換,,,,individual,フロントリッドグリル脱着グロメット取替貼付,,,true
85,21111315-1,2,1,ウイング蝶番グリスアップ,,,5000,1,5000,false,0.90,自動変換,,,,individual,ウイング蝶番グリスアップ,,,true
86,21111315-1,3,1,右後ろステンウィングキャッチ受け脱着曲がり直し,曲がり直し・脱着,,8000,1,8000,false,0.90,自動変換,,,,individual,右後ろステンウィングキャッチ受け脱着曲がり直し,,,true
87,21111316-1,1,0,ジャバラパイプ脱着 他（4点）,,,15000,1,15000,false,0.90,自動変換,,,,set_parent,ジャバラパイプ脱着、UDPCマフラー取外し、腐食ボルト折れ込み取外し加工、タップ掛け,ジャバラパイプ脱着 他（4点）,,true
88,21111316-1,1,1,ジャバラパイプ脱着,脱着,パイプ,,1,,false,0.90,自動変換,,,,set_child,ジャバラパイプ脱着、UDPCマフラー取外し、腐食ボルト折れ込み取外し加工、タップ掛け,ジャバラパイプ脱着 他（4点）,,true
89,21111316-1,1,2,UDPCマフラー取外し,,,,1,,false,0.90,自動変換,,,,set_child,ジャバラパイプ脱着、UDPCマフラー取外し、腐食ボルト折れ込み取外し加工、タップ掛け,ジャバラパイプ脱着 他（4点）,,true
90,21111316-1,1,3,腐食ボルト折れ込み取外し加工,加工,,,1,,false,0.90,自動変換,,,,set_child,ジャバラパイプ脱着、UDPCマフラー取外し、腐食ボルト折れ込み取外し加工、タップ掛け,ジャバラパイプ脱着 他（4点）,,true
91,21111316-1,1,4,タップ掛け,,,,1,,false,0.90,自動変換,,,,set_child,ジャバラパイプ脱着、UDPCマフラー取外し、腐食ボルト折れ込み取外し加工、タップ掛け,ジャバラパイプ脱着 他（4点）,,true
92,21111317-1,1,0,左右キャスターストッパー溶接部分切断取外し仕上げ 他（4点）,切断,,18000,2,36000,false,0.90,自動変換,,,,set_parent,左右キャスターストッパー溶接部分切断取外し仕上げ、コーキング入替、フラットバー切断廃棄、押えアングル止め加工,左右キャスターストッパー溶接部分切断取外し仕上げ 他（4点）,,true
93,21111317-1,1,1,左右キャスターストッパー溶接部分切断取外し仕上げ,仕上げ・切断・溶接,,,1,,false,0.90,自動変換,,,,set_child,左右キャスターストッパー溶接部分切断取外し仕上げ、コーキング入替、フラットバー切断廃棄、押えアングル止め加工,左右キャスターストッパー溶接部分切断取外し仕上げ 他（4点）,,true
94,21111317-1,1,2,コーキング入替切断,切断,,,1,,false,0.90,自動変換,,,,set_child,左右キャスターストッパー溶接部分切断取外し仕上げ、コーキング入替、フラットバー切断廃棄、押えアングル止め加工,左右キャスターストッパー溶接部分切断取外し仕上げ 他（4点）,,true
95,21111317-1,1,3,フラットバー切断廃棄,切断・廃棄,,,1,,false,0.90,自動変換,,,,set_child,左右キャスターストッパー溶接部分切断取外し仕上げ、コーキング入替、フラットバー切断廃棄、押えアングル止め加工,左右キャスターストッパー溶接部分切断取外し仕上げ 他（4点）,,true
96,21111317-1,1,4,押えアングル止め加工,加工,,,1,,false,0.90,自動変換,,,,set_child,左右キャスターストッパー溶接部分切断取外し仕上げ、コーキング入替、フラットバー切断廃棄、押えアングル止め加工,左右キャスターストッパー溶接部分切断取外し仕上げ 他（4点）,,true
97,21111318-1,1,0,左観音扉下側中板一部分切替加工 他（3点）,加工,,16000,1,16000,false,0.90,自動変換,,,,set_parent,左観音扉下側中板一部分切替加工、開き止め付替え加工、コーキング入替,左観音扉下側中板一部分切替加工 他（3点）,,true
98,21111318-1,1,1,左観音扉下側中板一部分切替加工,切替・加工,,,1,,false,0.90,自動変換,,,,set_child,左観音扉下側中板一部分切替加工、開き止め付替え加工、コーキング入替,左観音扉下側中板一部分切替加工 他（3点）,,true
99,21111318-1,1,2,開き止め付替え加工,付替・加工,,,1,,false,0.90,自動変換,,,,set_child,左観音扉下側中板一部分切替加工、開き止め付替え加工、コーキング入替,左観音扉下側中板一部分切替加工 他（3点）,,true
100,21111318-1,1,3,コーキング入替加工,加工,,,1,,false,0.90,自動変換,,,,set_child,左観音扉下側中板一部分切替加工、開き止め付替え加工、コーキング入替,左観音扉下側中板一部分切替加工 他（3点）,,true
101,21111318-1,2,0,右観音扉下側中板切替ステー取付加工 他（7点）,加工,,68000,1,68000,false,0.90,自動変換,,,,set_parent,右観音扉下側中板切替ステー取付加工、ヒンジ、キャッチシャフト、開き止め脱着付替え加工、裏鋼板切替接着加工、ボルト切断取替、コーキング入替加工,右観音扉下側中板切替ステー取付加工 他（7点）,,true
102,21111318-1,2,1,右観音扉下側中板切替ステー取付加工,切替・加工・取付,ステー,,1,,false,0.90,自動変換,,,,set_child,右観音扉下側中板切替ステー取付加工、ヒンジ、キャッチシャフト、開き止め脱着付替え加工、裏鋼板切替接着加工、ボルト切断取替、コーキング入替加工,右観音扉下側中板切替ステー取付加工 他（7点）,,true
